nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000197150.12,0.228302908,NA,0.002585456,0.026469806,-0.008887811,0.442814038,NA,0.887988068,0.187225492,0.650694329,0.650678432,1,0.768169066
ENSG00000164885.12,-0.731001117,-5.274121818,0.028035083,-0.004368424,0.057011141,0.569498035,0.014206703,0.662967612,0.982085364,0.505663212,0.505443994,0,0.728929535
ENSG00000164889.13,-0.447255412,-8.315043738,0.006936508,0.039893709,0.027404148,0.037147515,0.051899711,0.592514491,0.058098371,0.057585982,0.058144867,0,0.345675189
ENSG00000164896.19,-0.27474855,NA,0.025853825,-0.051704346,0.007782316,0.676406613,NA,0.417953697,0.180962453,0.857452769,0.857448688,1,0.816247912
ENSG00000164897.12,0.015773825,-5.247352394,0.041496053,0.137178303,-0.011967172,0.967197338,2.16E-28,0.3662349,0.111486596,0.643889437,0.64570251,0,0.767464173
ENSG00000133612.18,1.814065744,-6.708113518,-0.200735274,1.100884122,-0.102508282,0.431124187,0.495232831,0.169109964,0.390488437,0.485696568,0.504646957,0,0.728929535
ENSG00000033050.7,-0.006212663,-6.927241805,-0.022746476,0.018373192,0.006937566,0.978440662,8.41E-11,0.144381189,0.646384437,0.649326037,0.649333251,0,0.768169066
ENSG00000033100.16,0.282869268,-8.3732625,0.010662267,0.011225159,-0.013456182,0.029001769,5.44E-06,0.210878891,0.431260821,0.125909958,0.126655075,0,0.473747899
ENSG00000082014.16,-3.149807192,-5.265535665,0.299084643,-1.253306959,0.203829274,0.04033273,2.76E-07,0.000148399,0.039898019,0.0533891,0.055636945,0,0.341046957
ENSG00000013374.15,-0.343987583,-6.022054975,0.012385594,0.002799601,0.028112455,0.050892282,6.41E-86,0.34903426,0.776073497,0.017659748,0.018281886,0,0.197863574
ENSG00000106617.13,-0.8503548,NA,0.082983079,-0.013920243,0.067783583,0.019719413,NA,0.000176139,0.64773187,0.005560425,0.005541239,1,0.094960596
ENSG00000239911.2,-1.08406328,NA,0.23302477,-1.09527808,0.082436155,0.629261533,NA,0.064733372,0.251011694,0.579694102,0.579715719,1,0.751095801
ENSG00000178234.12,-1.605844451,-5.959924642,-0.013252143,-0.344608377,0.101197881,0.129848232,0.026732977,0.816247532,0.380943883,0.15283904,0.213933728,0,0.569853206
ENSG00000055609.17,-1.75890162,-6.70139673,-0.018223337,0.27252224,0.12350534,0.030041312,0.028798528,0.619883903,0.139760107,0.023107881,0.022945829,0,0.222172385
ENSG00000261455.1,0.247821371,-4.991783476,-0.007568502,-0.013001762,0.010799495,0.490111533,1.03E-34,0.719250893,0.813146124,0.658725724,0.659266581,0,0.77025021
ENSG00000214106.7,-0.244179712,-5.810895745,0.009428726,0.162709824,-0.002479497,0.716267943,0.004454853,0.840357775,0.209275868,0.955345358,0.955489891,0,0.832472009
ENSG00000157212.18,-0.08985959,NA,0.248194756,-0.198695814,-0.010025896,0.959773354,NA,0.041416571,0.820031194,0.932133056,0.932137826,1,0.829791173
ENSG00000273344.1,-0.917241302,-5.286656241,0.033732555,0.052506386,0.049557677,0.578250871,0.098340994,0.642154073,0.508366803,0.649305043,0.650097494,0,0.768169066
ENSG00000273117.1,-0.015979766,-4.544544513,-0.132922889,0.027462573,-0.016234953,0.984128152,2.08E-09,0.037319117,0.697377963,0.761688319,0.762361994,0,0.797846336
ENSG00000186480.12,-0.742386563,-5.390108626,-0.007151322,-0.124688844,0.041005444,0.250401539,1.88E-12,0.807774732,0.298242587,0.33542193,0.341506021,0,0.656619639
