nm,int,od,b.gPC1,b.gPC2,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000096070.19,-0.465774428,NA,-0.003576525,0.029583722,0.020855646,0.670146433,NA,0.904980634,0.220822271,0.66147017,0.661453673,1,0.663877027
ENSG00000180316.12,0.431123701,-4.880676934,-0.024077308,-0.028665168,-0.011755525,0.455151097,5.01E-42,0.35689703,0.213158116,0.650221587,0.651800146,0,0.662323038
ENSG00000010030.13,-2.858204112,-2.622692121,-0.127345483,-0.064498691,0.076342865,0.360335232,5.64E-12,0.281719185,0.583753928,0.575154432,0.577017286,0,0.638557058
ENSG00000112078.13,0.443565907,-5.870018728,0.022492518,0.016183764,-0.016641679,0.121536993,3.02E-124,0.072648346,0.085209819,0.189530728,0.190727651,0,0.449560548
ENSG00000112079.8,-0.114933915,-7.473890463,0.044783024,-0.005154532,0.010350307,0.578437445,3.58E-32,1.72E-05,0.440421647,0.26158382,0.265731905,0,0.506952717
ENSG00000112081.16,0.045692157,-7.157480596,-0.007219978,0.005701269,-0.00394993,0.865180895,8.64E-30,0.62549612,0.805529468,0.737340765,0.737862521,0,0.683009995
ENSG00000124762.13,-0.387206832,-5.011102042,-0.031979808,-0.042469491,0.006477182,0.608924719,8.12E-39,0.119691485,0.325997169,0.845736904,0.845880678,0,0.706769893
ENSG00000124784.8,-2.516342747,NA,-0.023786074,-0.008653938,0.101567925,0.013753761,NA,0.673294124,0.873224961,0.021643922,0.021347049,1,0.163369308
ENSG00000255587.7,-2.316290843,-4.544051207,0.037416783,0.05942096,0.082582072,0.002006919,7.42E-31,0.437552006,0.137694975,0.013053854,0.013762689,0,0.126440276
ENSG00000124772.11,0.197848996,-4.930624612,-0.025250545,0.003292089,-0.005615154,0.508539289,3.31E-253,0.061218533,0.814389766,0.67629093,0.676186094,0,0.667467961
ENSG00000137168.7,2.202059463,NA,0.046783594,0.24531359,-0.110863302,0.386673742,NA,0.74933263,0.862130431,0.322930805,0.321291728,1,0.5420016
ENSG00000198663.16,0.288844166,-5.685515632,0.009052629,-0.010772421,-0.007116313,0.42078415,6.76E-89,0.695844984,0.454707422,0.655116,0.655966719,0,0.663079717
ENSG00000164530.13,0.277290809,-4.00130799,-0.028112298,0.008604133,0.002509329,0.795538166,3.57E-16,0.514882515,0.945039086,0.957096784,0.95709706,0,0.728376233
ENSG00000137409.19,-0.456744257,-5.460277047,-0.040423018,0.008822494,0.024144056,0.310147651,8.34E-121,0.006191818,0.606729677,0.228322956,0.232655386,0,0.486805806
ENSG00000146192.14,1.014250126,-5.435421719,0.013608546,0.005085913,-0.039408415,0.000273834,1.55E-144,0.198689628,0.664353408,0.001510631,0.001556282,0,0.031143801
ENSG00000137193.13,0.463728065,-6.597504857,0.001578999,-0.003787827,-0.01521327,0.004239371,1.50E-217,0.807104548,0.692524835,0.034999159,0.035774735,0,0.218797829
